work,workLabel,origLang,origLangLabel,author,authorLabel,translatedWork,translatedWorkLabel,transLang,transLangLabel,pubPlace,pubPlaceLabel,pubCountry,pubCountryLabel
http://www.wikidata.org/entity/Q20645702,Station Eleven,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3052385,Emily St. John Mandel,http://www.wikidata.org/entity/Q116173252,Station Eleven,http://www.wikidata.org/entity/Q188,German,,,,
http://www.wikidata.org/entity/Q20645702,Station Eleven,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3052385,Emily St. John Mandel,http://www.wikidata.org/entity/Q116173180,Station Eleven,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q20645702,Station Eleven,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3052385,Emily St. John Mandel,http://www.wikidata.org/entity/Q116173182,Station Eleven,http://www.wikidata.org/entity/Q9240,Indonesian,,,,
http://www.wikidata.org/entity/Q20645702,Station Eleven,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3052385,Emily St. John Mandel,http://www.wikidata.org/entity/Q116173202,Station Eleven,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q20645702,Station Eleven,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3052385,Emily St. John Mandel,http://www.wikidata.org/entity/Q116173211,Station Eleven,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q20645702,Station Eleven,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3052385,Emily St. John Mandel,http://www.wikidata.org/entity/Q116173208,Station Eleven,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q20645702,Station Eleven,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3052385,Emily St. John Mandel,http://www.wikidata.org/entity/Q116173294,Station Eleven,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q20645702,Station Eleven,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3052385,Emily St. John Mandel,http://www.wikidata.org/entity/Q116173295,Station Eleven,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q20645702,Station Eleven,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3052385,Emily St. John Mandel,http://www.wikidata.org/entity/Q116173297,Station Eleven,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q20645702,Station Eleven,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3052385,Emily St. John Mandel,http://www.wikidata.org/entity/Q116173251,Station Eleven,http://www.wikidata.org/entity/Q9043,Norwegian,,,,
http://www.wikidata.org/entity/Q834383,Games People Play,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q44836,Eric Berne,http://www.wikidata.org/entity/Q123067214,"Games People Play (Assir Al-Kotob, 2021)",http://www.wikidata.org/entity/Q13955,Arabic,,,,
